unit_name,registration_no,udyam_no,nature_of_industry,enterprise_type,product_activity,district,taluk,address,contact_person,phone,registration_date,commencement_date,gstin,pan,iec_code,has_iec,paid_up_capital,authorized_capital,employee_count,annual_turnover,export_turnover,import_turnover,bank_name,ad_code,years_in_business,mca_status,is_shell,related_party_txn_pct,turnover_capital_ratio,primary_port,hs_code_primary,s.no,"name,_address_&_email_id_of_the_unit",contact_person_name_&_contact_no.,category_(manufacturer_/_supplier),product_name,stock_in_hand_(in_nos.),production_capacity_per_week_(_in_nos.),remarks
Ben Karan and Grover,TN/MSME/Wo/118302,UDYAM-TN-18-20-0003718,Handloom,Medium,General Products,Tiruppur,Tiruppur North,"85, Desai Nagar, Tiruvottiyur 992590",Lakshmi Mitter,0174721457,2021-04-13,2021-06-02,33GXTCE2672U4Z6,GXTCE2672U,,False,77806289.0,116735483.0,64.0,56856647.0,0.0,2231390.0,Union Bank of India,005337,5.0,struck_off,False,0.024237296441082922,0.7307461611490043,INITP6,5201,,,,,,,,
Oza-Shere,TN/MSME/jn/737106,UDYAM-TN-27-21-0970734,Food Processing,Micro,Rice Mill,Krishnagiri,Krishnagiri Taluk,"H.No. 733, Sani, Bokaro 926054",Hemangini Sabharwal,1697072257,2016-04-01,2016-05-01,33VPDPE0399B4ZN,VPDPE0399B,,False,725178.0,1736671.0,2.0,1003788.0,0.0,260364.0,ICICI Bank,397195,10.0,struck_off,False,0.12161575799105953,1.3841953285951862,INMAA4,8542,,,,,,,,
Jayaraman Devan and Rege,TN/MSME/kQ/967582,UDYAM-TN-18-22-0672643,Service,Small,General Products,Virudhunagar,Virudhunagar Taluk,"40, Dutt Marg, Surendranagar Dudhrej-152742",Hredhaan Malhotra,+911405826422,2019-06-22,2019-09-07,33GUCCB8284J2ZO,GUCCB8284J,93467705490,True,30129602.0,60840017.0,23.0,45078854.0,8275617.0,11409383.0,Indian Bank,557798,6.0,active,False,0.004140080267945384,1.496164934405705,INMAA4,8542,,,,,,,,
Morar-Rajagopal,TN/MSME/vx/271795,UDYAM-TN-13-22-0452249,Leather,Micro,Leather Garments,Thoothukudi,Thoothukudi Taluk,"H.No. 781, Warrior Circle, Satna-078704",Urmi Naik,2985646821,2021-03-10,2021-07-05,33SIPFQ1810N1Z7,SIPFQ1810N,,False,1922692.0,2124499.0,9.0,4262882.0,0.0,849470.0,City Union Bank,628368,5.0,active,False,0.04708734675875395,2.217142423227433,INTUT1,7204,,,,,,,,
Gole-Chacko,TN/MSME/vK/360255,UDYAM-TN-38-22-0487576,Food Processing,Small,Spices,Tiruchirappalli,Tiruchirappalli Taluk,"28/18, Vala Path, Jammu-998423",Zashil Dua,05231988607,2015-10-17,2015-10-28,33SOEAV9696J6Z9,SOEAV9696J,,False,24389764.0,40552349.0,30.0,29689276.0,0.0,6017665.0,Union Bank of India,478451,10.0,active,False,0.1190603098659003,1.217284267285243,INMAA4,2601,,,,,,,,
Samra Grover and Sarkar,TN/MSME/bK/096856,UDYAM-TN-01-20-0816233,Agro-based Industry,Micro,General Products,Tirunelveli,Tirunelveli Taluk,"H.No. 98, Date Ganj, Rewa-339772",Ishita Karpe,0973245651,2014-08-11,2014-09-27,33FFAFH9674U2ZY,FFAFH9674U,,False,1085110.0,1777105.0,4.0,942882.0,0.0,49752.0,City Union Bank,862250,11.0,struck_off,False,0.07769366256656111,0.868927574162988,INMAA4,6204,,,,,,,,
Majumdar LLC,TN/MSME/tr/876225,UDYAM-TN-34-23-0657194,Trading,Micro,Agricultural Produce,Krishnagiri,Krishnagiri Taluk,"H.No. 363, Nayar Marg, Ghaziabad-323976",Zaid Gera,05384164166,2022-02-02,2022-04-02,33YXPFX8494F6Z2,YXPFX8494F,49195606980,True,2048854.0,3400706.0,5.0,4875129.0,1715844.0,1043586.0,Punjab National Bank,034016,4.0,active,False,0.05037713049319709,2.3794418733594487,INMAA4,8542,,,,,,,,
Peri Ltd,TN/MSME/mV/786788,UDYAM-TN-27-21-0511946,Service,Micro,General Products,Krishnagiri,Krishnagiri Taluk,"H.No. 38, Sarin Road, Guna 352910",Yashoda Chandran,00523709457,2017-08-28,2017-10-19,33BKOCN0837W1ZY,BKOCN0837W,,False,740911.0,984768.0,6.0,923568.0,0.0,120757.0,Union Bank of India,197304,8.0,active,False,0.050419431554757366,1.2465302850139894,INMAA4,6403,,,,,,,,
Master and Sons,TN/MSME/LU/221438,UDYAM-TN-18-23-0264526,Chemical,Medium,Pigments,Sivaganga,Sivaganga Taluk,"21, Ahuja Marg, Secunderabad-888477",Aradhana Gara,7283293893,2017-05-12,2017-06-05,33XPRPC6140M4ZN,XPRPC6140M,,False,193377721.0,435557475.0,137.0,464701025.0,0.0,65565620.0,Union Bank of India,973677,8.0,active,False,0.007812841236488321,2.403074266243938,INMAA4,7108,,,,,,,,
Palla Pandey and Din,TN/MSME/oc/332039,UDYAM-TN-20-20-0606795,Handloom,Small,General Products,Vellore,Vellore Taluk,"305, Nagi Nagar, Bilaspur 898770",Urmi Minhas,5563547368,2023-12-21,2024-05-29,33VQGCP6526Y4ZK,VQGCP6526Y,,False,19094901.0,19830391.0,18.0,46677098.0,0.0,4368377.0,Canara Bank,185914,2.0,active,False,0.14372592573088439,2.444479706912332,INMAA4,0901,,,,,,,,
Mohan Guha and Kapur,TN/MSME/kO/348871,UDYAM-TN-10-23-0184693,Leather,Micro,Leather Footwear,Erode,Erode Taluk,"618, Palan Ganj, Tumkur 056724",Kevin Bhatia,06716821260,2022-01-24,2022-03-31,33UOBPR4353N6ZG,UOBPR4353N,,False,1364929.0,2867296.0,6.0,2851285.0,0.0,825852.0,HDFC Bank,688199,4.0,active,False,0.12122988282101338,2.088962136492081,INMAA4,3004,,,,,,,,
Muni Datta and Iyer,TN/MSME/ag/804532,UDYAM-TN-18-20-0541723,Engineering,Micro,Castings,Kancheepuram,Kancheepuram Taluk,"47/472, Bhat Street, Hazaribagh 738875",Gopal Chaudhari,02642538450,2024-05-04,2024-06-30,33HLTPS6308F6ZN,HLTPS6308F,,False,1129681.0,2736193.0,5.0,1526026.0,0.0,39194.0,Axis Bank,596064,1.0,active,False,0.0732866770273181,1.350846831981772,INMAA4,2601,,,,,,,,
Sane Sami and Dhar,TN/MSME/JR/592209,UDYAM-TN-35-21-0200846,Handloom,Micro,General Products,Vellore,Vellore Taluk,"55/990, Mall, Vellore 984031",Vamakshi Sule,05338022261,2025-08-02,2025-12-11,33KGRCL4547K4Z3,KGRCL4547K,45459123504,True,172323.0,243793.0,5.0,7206113.859601121,1402773.0,1274589.0,City Union Bank,690997,0.0,dormant,True,0.8660727633805789,41.81748147142936,INMAA4,8703,,,,,,,,
Ramesh-Cherian,TN/MSME/XC/319076,UDYAM-TN-12-20-0264743,Export Oriented Unit,Micro,Gems & Jewellery,Dindigul,Dindigul Taluk,"777, Kota Chowk, Bokaro-494015",Ekaraj Kumer,4442947462,2016-05-29,2016-11-07,33ANHFB5618P1ZA,ANHFB5618P,88272914064,True,852632.0,1904075.0,10.0,1032408.0,792424.0,124108.0,Indian Overseas Bank,910032,9.0,active,False,0.09441685604279974,1.2108482909391156,INMAA4,6204,,,,,,,,
Toor LLC,TN/MSME/eF/145747,UDYAM-TN-07-21-0655901,Leather,Micro,Leather Garments,Salem,Salem Taluk,"72/56, Master Zila, Suryapet 877230",Abdul Pandit,05545702181,2020-01-13,2020-01-26,33OKPPT2544S6ZT,OKPPT2544S,,False,1140988.0,1502153.0,1.0,2309447.0,0.0,457567.0,City Union Bank,498078,6.0,active,False,0.02607203224896517,2.024076502119216,INMAA4,6110,,,,,,,,
Hora Ltd,TN/MSME/oF/358155,UDYAM-TN-05-20-0173983,Engineering,Small,Forgings,Tirunelveli,Tirunelveli Taluk,"91, Sahota Nagar, Mau 989173",Chakradev Bedi,03526364358,2015-08-12,2015-09-12,33AHHFO0227S2Z1,AHHFO0227S,60395842082,True,34035292.0,56455365.0,25.0,72123738.0,26867782.0,10141274.0,Canara Bank,011244,10.0,active,False,0.06037627787442084,2.119086799666652,INMAA4,2709,,,,,,,,
Natt and Sons,TN/MSME/Su/238753,UDYAM-TN-29-22-0190306,Chemical,Micro,Dyes,Tiruppur,Udumalaipettai,"05, Jhaveri Circle, Nangloi Jat-773903",Indrajit Dada,+917433504839,2016-05-20,2016-06-07,33PAFFV8599V4ZC,PAFFV8599V,,False,1912059.0,4771386.0,3.0,3205092.0,0.0,419115.0,Federal Bank,847412,9.0,active,False,0.14535828540985554,1.6762516219426284,INITP6,5201,,,,,,,,
Bumb Butala and Sethi,TN/MSME/eT/777622,UDYAM-TN-30-23-0056838,Textile,Small,Readymade Garments,Ranipet,Ranipet Taluk,"06, Kar, Patiala 230227",Adweta Mukherjee,+917216440958,2014-02-15,2014-03-08,33KMRFM8543K1ZZ,KMRFM8543K,,False,13292773.0,17033011.0,11.0,28501712.0,0.0,3093399.0,ICICI Bank,934423,12.0,active,False,0.09381131132175134,2.1441509608266087,INMAA4,2601,,,,,,,,
Narayanan Inc,TN/MSME/Sz/068716,UDYAM-TN-19-22-0435674,Agro-based Industry,Medium,General Products,Coimbatore,Coimbatore South,"17/269, Boase Chowk, Kadapa 731035",Kabir Bumb,2932725708,2020-02-23,2020-04-29,33DZPAH7304H1Z3,DZPAH7304H,,False,167605892.0,377462869.0,216.0,432483193.0,0.0,127181798.0,HDFC Bank,017484,6.0,active,False,0.08268976153207044,2.580357932762889,INICJ4,0901,,,,,,,,
Memon-Mall,TN/MSME/Gw/382026,UDYAM-TN-25-23-0978167,Trading,Small,Textiles,Erode,Erode Taluk,"72/259, Dash Path, Tadipatri 011215",Krisha Gala,+912805702058,2024-08-29,2025-02-12,33YNVFJ7856E6Z8,YNVFJ7856E,62724165061,True,30346314.0,74990656.0,41.0,41356255.0,10983196.0,2962830.0,ICICI Bank,439988,1.0,active,False,0.12840194639810673,1.3628098292267061,INMAA4,0901,,,,,,,,
Sengupta Narasimhan and Batra,TN/MSME/mN/591707,UDYAM-TN-27-21-0078464,Handicraft,Small,General Products,Coimbatore,Pollachi,"675, Mitter Chowk, Gorakhpur-807120",Bachittar Kakar,+916547825195,2016-08-05,2016-10-30,33ZUQAE4055D6ZG,ZUQAE4055D,,False,28083989.0,47861742.0,40.0,15119548.0,0.0,4396176.0,Canara Bank,991346,9.0,active,False,0.1039056897880323,0.5383689617596703,INICJ4,6403,,,,,,,,
Raman Ltd,TN/MSME/CA/619623,UDYAM-TN-19-22-0393050,Handloom,Medium,General Products,Madurai,Melur,"05/98, Jani, Phusro-611183",Maanas Raval,4645722060,2017-06-14,2017-10-06,33WABAU6220D1Z2,WABAU6220D,80563442255,True,218255122.0,298201132.0,127.0,602069883.0,68513921.0,74425184.0,State Bank of India,137454,8.0,active,False,0.027008532922696664,2.7585601542033915,INMAA4,8471,,,,,,,,
Andra Ltd,TN/MSME/gN/403308,UDYAM-TN-17-23-0886366,Leather,Micro,Leather Footwear,Madurai,Thirumangalam,"H.No. 79, Mahal Road, Patna 720659",Matthew Kale,4530083445,2013-06-18,2013-12-12,33LGGCA8425C6ZW,LGGCA8425C,,False,700279.0,1017633.0,5.0,1468727.0,0.0,440342.0,Union Bank of India,399079,12.0,dormant,False,0.01599799011335414,2.097345486584633,INMAA4,0901,,,,,,,,
Maharaj-Dugar,TN/MSME/co/749342,UDYAM-TN-15-21-0651052,Leather,Medium,Leather Garments,Dharmapuri,Dharmapuri Taluk,"156, Seshadri Nagar, Ramgarh-565703",Bhavya Narayan,02251548276,2012-03-09,2012-07-30,33ZRHPS8799X6ZS,ZRHPS8799X,,False,129250403.0,177840825.0,109.0,260783690.0,0.0,59112672.0,Indian Overseas Bank,167915,14.0,active,False,0.1021282641273034,2.0176624903831053,INMAA4,8471,,,,,,,,
Chanda Wali and Ahuja,TN/MSME/vW/940052,UDYAM-TN-08-23-0078958,Agro-based Industry,Micro,General Products,Tiruchirappalli,Tiruchirappalli Taluk,"788, Majumdar Marg, Lucknow-442797",Yadavi Sampath,+914837557852,2011-05-21,2011-09-20,33CHTCF2783Q4ZK,CHTCF2783Q,33064785186,True,1630338.0,3733817.0,8.0,4758076.0,897099.0,1033763.0,Indian Overseas Bank,871822,14.0,struck_off,False,0.14509046209500484,2.918459853110214,INMAA4,2601,,,,,,,,
Pathak Iyengar and Vasa,TN/MSME/Xz/083100,UDYAM-TN-30-22-0680777,Trading,Micro,Agricultural Produce,Krishnagiri,Krishnagiri Taluk,"47/602, Badal Road, Chapra-691236",Avni Nayar,0516009359,2022-05-25,2022-09-17,33LRRPS3636P1Z9,LRRPS3636P,76892957497,True,2350547.0,2843375.0,6.0,6553653.0,1090594.0,1860440.0,Indian Bank,405874,3.0,active,False,0.07389369284673088,2.788139526671877,INMAA4,6110,,,,,,,,
Krishna PLC,TN/MSME/ms/814394,UDYAM-TN-24-22-0063492,Engineering,Micro,Forgings,Vellore,Vellore Taluk,"H.No. 63, Tailor Path, Berhampore-982816",Ishita Minhas,04455449708,2018-06-30,2018-08-27,33PSXAU0449B4ZN,PSXAU0449B,,False,2365731.0,3778567.0,4.0,6242278.0,0.0,355451.0,Indian Bank,599777,7.0,active,False,0.12720497826955215,2.6386254396632585,INMAA4,5201,,,,,,,,
Kaur LLC,TN/MSME/bj/398634,UDYAM-TN-08-20-0138206,Handloom,Micro,General Products,Madurai,Madurai South,"27/30, Zacharia Street, Hyderabad-906759",Aachal Rajagopal,+912825348457,2022-07-05,2022-10-16,33ZUFCY5582Y2ZA,ZUFCY5582Y,12437010308,True,1498838.0,3274926.0,3.0,4449777.0,1166129.0,317622.0,Canara Bank,499304,3.0,active,False,0.026136930210926577,2.968817844223325,INMAA4,6204,,,,,,,,
Ravel-Saran,TN/MSME/Gp/883865,UDYAM-TN-26-23-0719426,Food Processing,Small,Rice Mill,Salem,Salem Taluk,"423, Konda Circle, Tenali-696258",Vyanjana Gaba,4986950796,2016-06-06,2016-07-02,33UNCAQ2679V4Z3,UNCAQ2679V,,False,34460325.0,40040924.0,12.0,22470320.0,0.0,4802365.0,HDFC Bank,614761,9.0,active,False,0.13489001476853021,0.6520634962090462,INMAA4,7108,,,,,,,,
Pandit Inc,TN/MSME/XH/492379,UDYAM-TN-26-23-0765055,Trading,Micro,Electronics,Perambalur,Perambalur Taluk,"H.No. 747, Chadha, Vellore 651251",Xalak Kakar,08548561188,2017-05-01,2017-05-29,33JPHFQ6078U2Z1,JPHFQ6078U,25576243691,True,2399973.0,3936306.0,8.0,6528472.0,1463318.0,1302641.0,HDFC Bank,172040,8.0,active,False,0.022895838715308564,2.7202272692234453,INMAA4,8542,,,,,,,,
Dave-Narang,TN/MSME/fu/986508,UDYAM-TN-33-21-0162247,Trading,Micro,General Merchandise,Kancheepuram,Kancheepuram Taluk,"19/121, Naidu Path, Karaikudi 475944",Varenya Dass,+918513527180,2014-05-30,2014-10-28,33VOPFR5648Y6ZD,VOPFR5648Y,89004762204,True,505020.0,1146856.0,5.0,1010557.0,207663.0,106143.0,Axis Bank,106928,11.0,active,False,0.017232797029546224,2.001023721832799,INMAA4,2709,,,,,,,,
Padmanabhan Suri and Gola,TN/MSME/pB/592018,UDYAM-TN-11-22-0326776,Engineering,Small,Machine Parts,Dharmapuri,Dharmapuri Taluk,"H.No. 584, Swaminathan Chowk, Singrauli-336821",Noah Sami,09978925596,2025-01-31,2025-03-24,33AHTFK3116C2ZB,AHTFK3116C,63142425342,True,46646306.0,108453280.0,44.0,48411038.0,10938461.0,2259535.0,Indian Overseas Bank,200596,1.0,active,False,0.007464373864943574,1.0378321918996116,INMAA4,6110,,,,,,,,
Shenoy Krishna and Dhawan,TN/MSME/es/508612,UDYAM-TN-20-21-0804625,Handloom,Micro,General Products,Thoothukudi,Thoothukudi Taluk,"82, Shere Chowk, Rajpur Sonarpur 677398",Vanya Puri,4323133194,2019-12-25,2020-02-21,33HTCAN1655J1ZO,HTCAN1655J,,False,1954067.0,2356316.0,10.0,1244652.0,0.0,95409.0,Bank of Baroda,304526,6.0,active,False,0.0011594859853967909,0.6369546182398045,INTUT1,0803,,,,,,,,
Reddy Balan and Vora,TN/MSME/cC/177144,UDYAM-TN-30-22-0092411,Service,Micro,General Products,Virudhunagar,Virudhunagar Taluk,"081, Sagar Circle, Panihati-645941",Hema Majumdar,+913359201538,2018-08-19,2018-10-20,33BWBFA4034M6ZS,BWBFA4034M,81552776088,True,1065154.0,1453908.0,1.0,3105455.0,470668.0,548613.0,Axis Bank,678893,7.0,active,False,0.059365004528899944,2.9154986039577375,INMAA4,2709,,,,,,,,
Pant Ltd,TN/MSME/fI/047830,UDYAM-TN-29-22-0906229,Textile,Micro,Woven Fabric,Thanjavur,Thanjavur Taluk,"890, Gupta Road, Jhansi 660340",Dominic Choudhry,+910667936527,2017-01-22,2017-04-22,33XJSCU8211T2ZE,XJSCU8211T,61793532644,True,578262.0,959709.0,8.0,959847.0,258314.0,135027.0,Axis Bank,620727,9.0,active,False,0.11944945187271422,1.6598825445905143,INMAA4,8703,,,,,,,,
Ray Pant and Walia,TN/MSME/Mn/623548,UDYAM-TN-31-21-0064880,Food Processing,Micro,Rice Mill,Coimbatore,Pollachi,"08, Gill Marg, Karnal-708984",Ekansh Sathe,+913147981090,2023-04-07,2023-08-08,33BVBPC6545Z1Z2,BVBPC6545Z,,False,1995464.0,3343967.0,10.0,4249527.0,0.0,1033867.0,Indian Overseas Bank,898314,3.0,active,False,0.1473578371640096,2.129593417871733,INICJ4,6110,,,,,,,,
Murthy-Saxena,TN/MSME/Tk/888861,UDYAM-TN-10-22-0085462,Manufacturing,Small,Plastic Goods,Tiruppur,Tiruppur South,"02/56, Dasgupta Path, Raebareli 232469",Diya Jha,+910593837942,2025-07-14,2025-09-20,33JXKCY3576C4ZG,JXKCY3576C,,False,31989097.0,59951063.0,35.0,38718561.0,0.0,1642771.0,City Union Bank,265309,0.0,active,False,0.1451544761539117,1.2103674261264705,INITP6,0803,,,,,,,,
Chadha-Mannan,TN/MSME/gl/415981,UDYAM-TN-32-21-0237548,Leather,Micro,Finished Leather,Sivaganga,Sivaganga Taluk,"93/774, Pradhan Path, Rourkela 520917",Idika More,+911833625041,2023-05-14,2023-06-26,33VRVFX9906Q4ZB,VRVFX9906Q,,False,1679907.0,4199708.0,3.0,4834643.0,0.0,224731.0,Indian Overseas Bank,668430,2.0,active,False,0.11821802605071002,2.8779230040710586,INMAA4,3004,,,,,,,,
Rama PLC,TN/MSME/NP/236236,UDYAM-TN-29-21-0559952,Handloom,Small,General Products,Krishnagiri,Krishnagiri Taluk,"54/432, Dutt Ganj, Proddatur 344035",Triya Bala,08605383087,2025-08-06,2026-01-24,33PEECW7814N4ZP,PEECW7814N,,False,43975389.0,59751680.0,50.0,53312236.0,0.0,15443434.0,City Union Bank,740078,0.0,active,False,0.13559615072061873,1.2123198273470646,INMAA4,8517,,,,,,,,
Bhattacharyya Barman and Krish,TN/MSME/MD/881989,UDYAM-TN-28-20-0992387,Chemical,Small,Cleaning Agents,Ranipet,Ranipet Taluk,"H.No. 918, Narain Chowk, Haldia 047090",Sachi Bhargava,+913870047451,2020-12-07,2021-05-08,33ZVUAE8043D1ZS,ZVUAE8043D,46378568671,True,36249496.0,84350571.0,21.0,42846115.0,15921267.0,11960132.0,Canara Bank,872805,5.0,active,False,0.059468094820537165,1.1819782266765861,INMAA4,7108,,,,,,,,
Oza Sen and Saraf,TN/MSME/Ef/110461,UDYAM-TN-14-21-0575463,Trading,Micro,Textiles,Vellore,Vellore Taluk,"11, Sule Zila, Latur 466204",Xalak Pathak,4407663026,2026-04-12,2026-05-08,33VQUPE0948Y6Z2,VQUPE0948Y,96478101036,True,1436661.0,1676267.0,10.0,737190.0,91240.0,63715.0,Punjab National Bank,600917,0.0,active,False,0.007162416992827691,0.513127313959243,INMAA4,0901,,,,,,,,
Bhagat-Barad,TN/MSME/sG/531732,UDYAM-TN-33-20-0409421,Trading,Small,General Merchandise,Perambalur,Perambalur Taluk,"08, Behl Circle, Tadepalligudem 098920",Devansh Vyas,+915117843212,2016-09-09,2016-10-08,33QOSPJ4624V1Z7,QOSPJ4624V,87021730386,True,36042971.0,70410166.0,34.0,24119895.0,6218539.0,7098770.0,ICICI Bank,613105,9.0,active,False,0.0024363346663421434,0.6691983022154305,INMAA4,2601,,,,,,,,
Apte-Tata,TN/MSME/un/740319,UDYAM-TN-03-22-0978711,Export Oriented Unit,Small,Garments,Madurai,Melur,"20, Soman Nagar, Bhilai 199095",Jagdish Natarajan,8367776345,2025-02-12,2025-04-01,33BOVCF8694F2ZE,BOVCF8694F,60809646701,True,24814946.0,39637808.0,40.0,14701849.0,9858425.0,3596393.0,Bank of Baroda,108196,1.0,active,False,0.005493115730536252,0.5924594395651718,INMAA4,6403,,,,,,,,
Barad PLC,TN/MSME/ua/837627,UDYAM-TN-28-20-0451525,Textile,Small,Cotton Yarn,Erode,Erode Taluk,"39/464, Aggarwal Zila, Kalyan-Dombivli-383347",Lajita Baral,+912548409966,2017-01-02,2017-01-30,33DJXFX4931W6ZX,DJXFX4931W,,False,24775088.0,47163838.0,44.0,28907615.0,0.0,7131577.0,Indian Bank,483840,9.0,active,False,0.0481817142321891,1.1668017082320756,INMAA4,6110,,,,,,,,
Mohan and Sons,TN/MSME/sy/725062,UDYAM-TN-29-20-0132362,Agro-based Industry,Small,General Products,Thanjavur,Thanjavur Taluk,"98, Sur Marg, Nandyal 101524",Yamini Lall,+916485037228,2023-11-17,2024-01-17,33RJBCL6467B1ZZ,RJBCL6467B,,False,31096165.0,34232214.0,21.0,89618323.0,0.0,20930772.0,Canara Bank,888642,2.0,active,False,0.05742816025331665,2.881973484511675,INMAA4,8703,,,,,,,,
Arora-Goswami,TN/MSME/hu/038632,UDYAM-TN-29-21-0641600,Handloom,Medium,General Products,Coimbatore,Coimbatore South,"59/426, Khurana, Guwahati-526206",Om Prashad,3007119977,2013-12-09,2014-04-06,33TONAM3290F6Z7,TONAM3290F,,False,149861581.0,214057084.0,194.0,119050412.0,0.0,32732157.0,Punjab National Bank,531775,12.0,active,False,0.01839561328559563,0.7944024826483046,INICJ4,7204,,,,,,,,
Johal Kala and Magar,TN/MSME/Dh/377510,UDYAM-TN-16-23-0027561,Service,Medium,General Products,Madurai,Thirumangalam,"74/435, Narasimhan Path, Bikaner 453887",Chaitanya Nagi,01749627271,2014-06-10,2014-07-10,33RSOFJ8879U2ZX,RSOFJ8879U,,False,233053991.0,359216554.0,82.0,690499674.0,0.0,118547208.0,Canara Bank,692904,11.0,active,False,0.14745179364641786,2.9628313638276205,INMAA4,8471,,,,,,,,
